quote,keywords
Don't give up. Great things take time.,"tired,stress,exams"
"You’ve come this far, keep pushing.","exams,low,anxiety"
"Rest if you must, but don’t quit.","tired,exhausted,study"
Believe in yourself. You’re capable of more than you think.,"doubt,nervous"
Every small step you take matters. Keep going!,"slow,unmotivated"
Hard times don’t last. Tough people do.,"hopeless,sad"
Success is the sum of small efforts repeated day in and day out.,"routine,effort,progress"
Your limitation—it’s only your imagination.,"limit,fear,belief"
"Push yourself, because no one else is going to do it for you.","motivation,self,discipline"
Sometimes later becomes never. Do it now.,"procrastination,delay,focus"
Great things never come from comfort zones.,"comfort,growth,challenge"
Dream it. Wish it. Do it.,"dream,wish,action"
Success doesn’t just find you. You have to go out and get it.,"success,action,work"
"The harder you work for something, the greater you’ll feel when you achieve it.","hardwork,achievement"
Don’t watch the clock; do what it does. Keep going.,"time,focus,persistence"
Difficult roads often lead to beautiful destinations.,"difficult,challenge,reward"
Don’t stop when you’re tired. Stop when you’re done.,"tired,completion,perseverance"
Wake up with determination. Go to bed with satisfaction.,"start,motivation,day"
Little things make big days.,"little,habit,daily"
"It’s going to be hard, but hard does not mean impossible.","hard,challenge,possibility"
Believe you can and you’re halfway there.,"belief,confidence,begin"
You are stronger than you think.,"strength,resilience,belief"
"Stay positive, work hard, make it happen.","positivity,effort,goal"
Don’t limit your challenges. Challenge your limits.,"challenge,limit,growth"
Doubt kills more dreams than failure ever will.,"doubt,fear,dream"
"You don’t have to be great to start, but you have to start to be great.","start,begin,greatness"
Failure is not the opposite of success. It’s part of success.,"failure,success,growth"
You got this!,"simple,encouragement"
Keep going. Everything you need will come to you at the perfect time.,"faith,hope,persistence"
"No pressure, no diamonds.","pressure,stress,strength"
